"DrugBankIDs" "Target.uniprot"
"DB00734" "P35367; P14416; P35348; P28223; P35368; P10635; P21728; P08913; P18089; P18825; P08908; P28221; P28335; P35462; P21917; P08684; P20815; P24462; P34969; P08183"
"DB00737" "P35367; Q14994"
"DB00738" "; P33261; O14717; P10632; P10635; P04798; P20815; Q02928"
"DB00740" "Q14524; P05177; Q9UPY5; Q9UNQ0; P04798"
"DB00741" "P04083; P04150; P04278; P08684; P20815; P24462; P08183; P46721; Q9UNQ0; P15538; P19099; P10632; P08185; P80365; P14060; Q8TCC7"
"DB00744" "P09917; P11712; P05177; P08684; P23219; O60656; P02768"
"DB00745" "Q01959; P35368; P08684; P33261; P05177; P20813; P11712; P20815"
"DB00746" "P47989; ; P05067"
"DB00747" "P11229; P14410; P08172; P20309; P08173; P08912; P08183; P43681; P17787"
"DB00749" "P23219; P35354; P11712; O60656; P19793; P02768; Q4U2R8; P35503; Q9HAW8; P16662"
"DB00750" "Q14524"
"DB00751" "P35367; P25021; P35348; P08913; P28223; P34969; P08183; P20813; P10635; P08684"
"DB00752" "P27338; P21397; P33261; P11509; P10635; P05177; P11712; P05181; P08684"
"DB00753" "P98194; P30049; P14867; Q09470; P42261; P23415; P0DP23; P05181; P02768; P20813; P03886; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P43681; P17787"
"DB00755" "P13631; P28702; P00352; Q8NFJ5; P48443; P51843; O94788; P49788; P10632; P29762; P29373; P20813; P08684; P20815; P11509; P24462; P33260; P11712; Q02928; P04798; P10276; P10826; P31025; Q9NY56; P02753; P02768; Q16654; P19793; O43174; Q9NR63; Q6V0L0; O60760"
"DB00757" "P46098; P08684; P10635; P11712"
"DB00758" "Q9H244; P08684; P20813; P20815; P33261; P11712; P05177; P10632; P23141; P08183; O15245; O15244"
"DB00759" "; P04156; P02768; P08684; Q4U2R8; Q8TCC7; Q9NSA0; Q9Y694; P0A7V3; P0A7W7; P0A7U3; P0AG59; P02359; C9EH48; Q9UM07; O94956"
"DB00760" "P24228; P14489"
"DB00761" "P55011; Q13621; Q9H2X9; Q9UHW9; Q9Y666; Q9UP95"
"DB00762" "Q969P6; P11387; P08684; P20815; P22309; O60656; P23141; P24462; P20813; O75751; Q9Y6L6; P33527; Q9UNQ0; P02768; O00748; P06276; P08183; Q92887"
"DB00763" "P07202; P05177; P11509; P20813; P33261; P11712; P10635; P05181; P08684"
"DB00764" "P04150; P10632; P06401; P08684"
"DB00768" "P35367; P23297; P80511; P04271; Q99584; P29034; P08684"
"DB00770" "P43116; P34995; O15440; O94956; Q9UIG8; O15439; Q92959; Q9Y5Y4; Q4U2R8"
"DB00771" "P11229"
"DB00773" "P11388; P08684; O15438; O95255; P08183; P33527; Q5T3U5; Q92887; Q9UNQ0; P05177; P10632; P05181; P20815; P22309; Q02880; P30711; P09211; P35354; P23219"
"DB00776" "Q14524; P33261; P08684; P20815; P02768; P22309; P08183"
"DB00778" "P0A7J6; P08183; P08684; P20813"
"DB00779" "; Q4U2R8; P48775"
"DB00780" "Q16853; P27338; P21397; P05181; P80404; Q9UGI5; P24298; Q8TD30; P33261; P10632; P08684; Q9HB55; P20815; P24462; P10635"
"DB00781" "; Q16348"
"DB00783" "P03372; O75469; P04278; Q92731; P05177; P22309; P02768; P12104; P08684; P20815; P24462; O15244; O15245; O75751; O94956; P46721; Q5T3U5; Q9NSA0; Q9UNQ0; Q9Y6L6; P08183; P04798; Q16678; P33261; P10632; P11712; Q8TCC7; Q9NPD5; Q9NYB5; Q96BD0; P43681; Q15596; Q99527; P00846; Q14457; P37059; P62508"
"DB00784" "P35354; P23219; P11712; P10632; P02768; O60656"
"DB00785" "P08172; P11229; P08173; P08912; P20309"
"DB00787" "P04293; P09252; P03176; O15245; Q4U2R8; Q8TCC7; Q12908; Q96FL8; Q86VL8"
"DB00788" "P23219; P35354; P02768; P11712; P05177; P46721; Q4U2R8; P10632; P16662; Q51911; O95342; P08183; ; P35503; P19224; Q9HAW7; Q9HAW9; O60656; Q9HAW8"
"DB00790" "P12821; P46059; Q16348; P06276; Q6FHJ7"
"DB00794" "P14867; P33261; P05177; P20813; P10632; P11712; P08684; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P22309"
"DB00795" "P24752; Q9UPY5; Q9UNQ0; Q92887; O15111; O14920; P35354; P37231; P23219; P09917; Q96NT5; P24557; P04054; Q9Y6L6; Q9NPD5; O94956"
"DB00796" "P30556; P10632; P11712; P08183; P35503; P23219"
"DB00797" "P35348; P08913; P35367; P25021; P18825; P18089"
"DB00798" "P0A7S3; ; P98164; Q4U2R8; P08164; P00374"
"DB00799" "P10276; P28702; P13631; P10826; P10632"
"DB00800" "P21918; P21728; P18089; P18825; P08913; P35368; P25100; P35348"
"DB00802" "P35372; P08684; P20815; P02763; P02768; P24462; P08183"
"DB00804" "P11229; P08172; P04798"
"DB00805" "P21728; P14416; P28223; P41595; P28335; P31645; P10635; P11229; P22303; P21397"
"DB00806" "Q07343; P27815; P21589; O76074; P30542; P29274; P05177"
"DB00807" "Q9Y5Y9"
"DB00808" "P08684; P55017"
"DB00809" "P08173; P11229; P08172; P20309"
"DB00810" "Q15822; P11229; P10635"
"DB00811" "P26676; P22413; P16502; P49902; P20839; P12823; P12268; P55263; Q99808; Q9HAS3"
"DB00812" "P35354; Q16647; P11712; Q4U2R8; Q8TCC7; Q9NSA0; P23219; P08684"
"DB00813" "P35372; P41143; P08684; P20815; P24462; P08183; P41145"
"DB00814" "P35354; P11712; P23219; P08684; O15439; P52209; P10632"
"DB00816" "P07550"
"DB00818" "P20813; P22309; O60656; P47870; P28472; P02768; P35499; Q99250; O00519; P11712; Q9HAW9; P05181; Q16678; P04798; P05177; P33260; P33261; P10632; P19224; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB00819" "P00915; P29972; Q9ULX7; Q4U2R8; P00918; P07451; P22748; P08684; P43166; O43570"
"DB00820" "O76074; P08684; Q9HCR9; P20815"
"DB00822" "P05091; P05181; P09172; P08684; P20815; O95342"
"DB00823" "P03372; P06401; P08684"
"DB00824" "Q07343; P29275; P27815; P30542; P29274; P0DMS8"
"DB00827" "; P43700; Q4U2R8; P05177"
"DB00828" "P0A749"
"DB00829" "P30536; P14867; P47869; P34903; P08684; P02768; P11712; P33261; P20815; P24462; P31644; P18505; P47870; P28472; Q8N1C3; P18507; Q99928; O14764; P78334; O00591; P24046; P28476; A8MPY1; Q9UN88; P08183; P20813; P23219; P33260; P10632; P05181; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB00830" "P23975; Q01959"
"DB00831" "P14416; P35348; Q9NYX4; P47989; P22310; P05177; P08183; P0DP23; P63316; P26447"
"DB00833" "Q8XJ01; P46059; Q16348; Q75Y35; P05164; Q8TCC7; O95342"
"DB00834" "P06401; P04150; P08684; P20815; P24462; P08183; P33527; P10635; P07288; O75469; O95342; P10632; P11712; Q9Y6L6; Q9NPD5"
"DB00836" "O00555; P35372; P0DP23; P01189; P41143; P08684; P08183; P41145; P10632; P20813; P10635; Q14994"
"DB00841" "P08588; P21964; P07550; P35348; P35368; P25100; P03372"
"DB00842" "P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; Q8N1C3; P18507; Q99928; O14764; P78334; O00591; P24046; P28476; Q9UN88; A8MPY1; P08684; Q9HB55; P54855; P16662; O60656; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB00843" "P22303; P28223; P08684; P10635; P11712"
"DB00844" "P41145; P35372; P41143"
"DB00847" "P61278; P49146; ; P05164"
"DB00848" "P32297; P10696; Q23022; Q9N587; Q27218; P48181"
"DB00849" "P14867; P33261; P20813; P47869; P34903; P48169; P31644; Q16445; P43681; P36544; P42262; Q13002; O75469"
"DB00850" "P21728; P14416; P0DP23; P10635; P05177; P20813; P33260; P33261; P10632; P11712; P08684"
"DB00851" "Q14181; P04798; P05177; P05181; P52209;"
"DB00852" "P35348; P08913; P07550; P21397; P08588; P10635; Q01959; P23975; P31645; O95644; P01375; ; P18846; P15336; P18847; P18848; Q9Y2D1; P18850; P17544; Q8WYK2; P01100; P05412; P60568"
"DB00853" "; P08684"
"DB00854" "P35372; P41143; P41145"
"DB00855" "P13716; P46059; Q16348"
"DB00859" "Q9Y6L6;"
"DB00860" "P08185; P08684; P04150; P46721; P08183"
"DB00861" "P23219; P35354; P02766; P02768; Q4U2R8; Q9HAW9; O60656"
"DB00862" "O76074; P08684; P18545; Q13956; P20815; P08183"
"DB00863" "P25021; P05177; P10635; O15245; P08183; Q8TCC7; P08684; P22303; O15244; P06276"
"DB00864" "P62942; P08684; P20815; P24462; P08183; Q8WWZ7; P02768; P02763; Q9Y6L6"
"DB00867" "P07550; P52209"
"DB00868" "Q14524"
"DB00869" "P00918; P00915; P22748; P11712; P08684; P07451"
"DB00871" "P07550; P06276; P13945; P08588"
"DB00872" "P37288; P30518; P08684"
"DB00874" "Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391"
"DB00875" "P35348; P14416; P21728; P20711; P28223; P08183; P11229"
"DB00876" "P30556; Q92887"
"DB00877" "P62942; P08684; P42345; P09038; P20815; P24462; P08183; Q9Y6L6; Q96FL8"
"DB00878" "; P50135; P26841"
"DB00880" "P55017; P00915; P00918; Q4U2R8"
"DB00881" "P12821; P46059; Q16348; Q8TCC7"
"DB00882" "P03372; P08183; P05108; P11511; P04798; P05177; P05181; P04278"
"DB00883" "P16066; P08684; P05181"
"DB00884" "P14324; ; P35354"
"DB00887" "Q13621; P13569; P55011; Q9UP95; Q9H2X9; Q14973; Q4U2R8; Q8TCC7; Q9NSA0; Q9Y694; P46721; P35354"
"DB00888" "; P06276"
"DB00889" "P46098; P08684; P04798"
"DB00891" "Q49184; P11712"
"DB00892" "Q9Y5Y9; P06276"
"DB00893" "P68871; P69905; P02794; P02792; P02787"
"DB00897" "P30536; P08684; P20815; P24462; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; Q8N1C3; P18507; Q99928; O14764; P78334; O00591; P24046; P28476; A8MPY1; Q9UN88; P10632; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB00898" "P14867; Q8TCU5; P23415; P23416; P05181; P04798; P05177; P20813; P33261; P11712; P08684; Q02928; P07327; P00325; P00326; P11766; Q02641; P46098; P08319; P47869; Q9GZZ6; Q13936; P31644; P48169; P40394; P34903; P42261; Q06432; Q15822; Q16445; P42262; P48058; P42263; P43681; P17787; P48549; P48051; P19320; Q99808; P48544; P36544; Q9UGM1; P18505; P28472; P47870; Q13698; Q01668; P28332; P30926; P32297; P30532; Q15825; Q05901; Q8N1C3; Q99928; P78334; O00591; Q9UN88; O14764; P14550; Q14542; A5X5Y0; O95264; Q70Z44; Q8WXA8; Q9Y698; Q92806; P32004"
"DB00899" "P35372; P41143; P41145"
"DB00900" "Q4U2R8; P00491; Q72547; Q99808; Q14542; P02768"
"DB00903" "Q13621; P05023; P09210; P02768; Q4U2R8; Q9UJU2; P09211"
"DB00904" "P46098; P08684; P05177; P10635; P20815; P24462; Q13639; P08908; P28222; P35372; P11712; P05181"
"DB00905" "P43088; P34995; P43115; P42330"
"DB00906" "P30531; P08684; P22309"
"DB00907" "P23975; Q14524; Q9UI33; Q9Y5Y9; P31645; Q01959; P08684; P11229; P08172; P20815; P24462; P10635; O15244; P10632; Q99720; P23141; P06276"
"DB00908" "Q14524; P02763; Q12809; O00180; Q9Y257; P05177; P05181; P04798; P10635; P08684; P24462; O15244; O15245; O76082; P08183; P46721; Q8TCC7; Q92887; Q9H015; Q9Y6L6; P20813; P11712; P35348; P35368; P25100; O95342; P10632"
"DB00909" "P35498; P00915; O43497; P08684; Q06278; P27338; P00918; P07451; P22748; P35218; Q9Y2D0; P23280; P43166; P35219; Q16790; Q9NS85; O75493; O43570; Q8N1Q1; Q9ULX7; O95180; Q9P0X4; Q99250; Q9NY46; P35499; Q14524; Q15858; Q9UI33; Q07699; O60939; Q9NY72; Q8IWT1; P21397; P33261; P22309; P20815"
"DB00910" "P11473; Q07973; P08684; P22310"
"DB00911" "P08684; ; O95342"
"DB00912" "Q09428; P10632; P37231; P08684; P02768; Q9Y6L6; O95342"
"DB00913" "P35372"
"DB00914" "Q13131; P10635; O15244; O15245; Q15842"
"DB00915" "P14416; P21430; P20711; P27338; O15244; O15245; Q8TCU5; P36544; P43681; P32297"
"DB00916" "P29166; ; O25608; P11712; P08684; P10632; Q16850; P22309"
"DB00917" "P43116; P34995; P35408; P43115; O15244; O15440; Q4U2R8; Q8TCC7; Q9NSA0; Q9Y694; O15439; O94956; P46721; Q86UW1; Q86UW2; Q92959; Q96BD0; Q9NYB5; Q9UIG8; Q9Y6L6; P05108; P11511; Q9Y5Y4"
"DB00918" "P28221; P28222; P08684; P10635; P21397; P31513; P33261; P05181; P10632"
"DB00920" "P35367; P52209"
"DB00921" "P41145; P35372; P08684; P10635; P08183; Q9UNQ0; P11712; P20815; P10632; P24462; O60656; P41143; P11509; P33260; P33261; P41146; P22309"
"DB00922" "P63316; Q14654; Q15842; Q14432"
"DB00924" "P28223; P05177; P08684; P10635; P22309"
"DB00925" "P35348; P0DP23; O15244; O15245; O75751; P08913; P18825; P18089; P07550; P35368; P25100"
"DB00927" "P25021; P33261; O15244; Q8TCC7"
"DB00928" "P26358; P32320;"
"DB00929" "P43116; P43115; P35408"
"DB00933" "P14416; P28223; P10635"
"DB00934" "P35367; P23975; P35348; P35368; P25100; P10635; P02763; P11229; P08172; P20309; P08173; P08912; P05177; P28223; P28335; P34969; P14416; P08913; P18089; P18825"
"DB00935" "P35348; P08913; P18825; P18089; P35368; P25100"
"DB00936" "P02768; P23219; P35354; Q04828; Q4U2R8; Q63ZE4; Q8TCC7; Q9NSA0; O94956; P53985; Q9Y694; P11712"
"DB00937" "P23975; Q01959"
"DB00938" "P07550; P08684; P10632; P20815; P24462; P08588; P13945"
"DB00939" "P23219; P35354; P09917; Q4U2R8; Q9NYB5; O43526; O43525; P05543"
"DB00943" "P27707; Q4U2R8; Q9Y694; Q72547; Q99808; Q14542; P02768"
"DB00945" "P23219; P35354; Q04828; Q4U2R8; P08183; P33261; P11712; Q13131; P54646; Q9Y478; O43741; P54619; Q9UGJ0; Q9UGI9; P25101; ; P04637; P11021; P51812; P25963; P98066; P29466; P42574; O14920; P24385; P01106; P12004; P19224; P11245; Q8TCC7"
"DB00946" "Q9BQB6; P02763; P02768; P11712; P08684; P10632"
"DB00947" "P03372; P08684; P22309"
"DB00948" "Q8XJ01; P0AD65; Q75Y35"
"DB00949" "Q8TCU5; Q13224; Q12879; P33261; P08684; P05181; P11712"
"DB00951" "P9WIE5; P9WGR1; P05181; P05177; P11712; P10635; P33261; P08684; P11245; P9WJI5; P11509; P10632; P9WNX1; P02768"
"DB00952" "P28221; P28222; P30939; P08908; P21397"
"DB00953" "P28221; P28222; P30939; P21397"
"DB00955" "P0A7S3;"
"DB00956" "P35372; P41143; P08684; P10635"
"DB00958" "; O15431; O15432; P47989; P05164; P30711; P04731; P02795; P00441; P09211; P09488; P15559; Q04656; P35670; Q9UNQ0; Q92887"
"DB00959" "P04150; P08684; P08183"
"DB00960" "P08588; P07550; P08908; P28222; P10635; P13945"
"DB00961" "Q9Y5Y9"
"DB00962" "P30536; P14867; P08684; Q06278; P20815; P24462"
"DB00964" "P08913; P35348; P18089"
"DB00966" "P30556; P37231; P08183; Q92887; Q9UNQ0; P33261; O95342; P35503"
"DB00967" "P35367; P11712; P33261; P05177; P10635; P08183"
"DB00968" "P08913; P21964; P46059; P20711"
"DB00969" "P46098; P05177; P11712; P08684; P05181"
"DB00970" "; O76082; P08183; O95255; P33527; Q9UNQ0; P11388; Q02880"
"DB00972" "P35367; P05177; P10635; P08684; P33261; P04798; P20815; P11712; P10632; P08183; P11509; P20813; P05181"
"DB00973" "Q9UHC9; P15144; P35610; P22309; P35503; P08183; Q92887; Q9Y6L6; P54855; P16662; P08684; Q9H222; O15438; Q9UNQ0; Q9H221; P10632; O95342"
"DB00974" "; P00813; Q15166; P11511"
"DB00975" "Q9Y233; O76074; P27815; P00813; O15439; O15440; P08183; P53805; P02763; Q9Y6L6; Q9NPD5; O94956; O95342"
"DB00976" "; P08684; P20815; P24462; Q9Y6L6; Q9NPD5"
"DB00977" "P03372; O75469; P08684; P10632; O95342; Q14973; Q92887; P08183; P04278; P22309"
"DB00978" "P43700; P43702; P11388; P05177; O76082; Q92887"
"DB00979" "P11229; P06276"
"DB00980" "P49286; P48039; P05177; P33261; P08684; P11712"
"DB00981" "P22303; P43681; P17787"
"DB00982" "P10276; P02768; P13631; P08684"
"DB00983" "P07550; P33261; P11712; P10635; P11509; P08588; P13945"
"DB00984" "P10275; P11511"
"DB00987" "P06746; P32320; O15245; Q5T3U5; Q99808; ; P08684; P27707; P21589; P32321"
"DB00988" "P21728; P09172; P21397; P27338; P21964; O15244; O15245; O75751; O76082; Q01860; P21918; P14416; P35462; P21917; Q01959; P33261; P08908; P34969; P21728; P21918; P23975; P31645; P46098; O95264; P00441; Q05940"
"DB00989" "P22303; P06276; P08684"
"DB00990" "P11511; P08684"
"DB00991" "P35354; P23219"
"DB00993" "P00492; P51580; P47989; P08263; P09210; P09488; P63000; P05177"
"DB00994" "P0A7S3; ; P41180"
"DB00995" "O14920; P02768; P30044"
"DB00996" "P30542; Q00975; P54289; Q9NY47; P54687; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391; Q9UBS5; O75899; P08684"
"DB00997" "P11388; ; P08684; P10635; P20813; P08183; O15438; O95255; P33527; Q5T3U5; Q9UNQ0; O95342; Q86VW1; Q9NUT2; Q16678; P16152; O75828; P14550; P42330; P15559; P47989; P29474; P35228; P29475; O75306; O75489; O75251; P16435; Q15311; Q92887; P02768; Q14978"
"DB00998" "P28221; P28222; P05177"
"DB00999" "P55017; P00915; P00918; Q4U2R8; Q12791"
"DB01001" "P07550; P08588; P08684; P13945"
"DB01002" "Q9Y5Y9; P08684; P05177"
"DB01003" "Q12791; P25815"
"DB01004" "P04293; P03176; O15245; Q4U2R8; Q8TCC7; Q9Y694; ; Q96FL8; Q86VL8"
"DB01005" "P23921; P10635"
"DB01006" "P11511; P08684; P11509"
"DB01008" "; P08684; P09210; P08263; P09488; P09211; Q99735"
"DB01009" "P23219; P35354; P25024; P02768; O15439; P46721; Q4U2R8; Q8TCC7; Q9NSA0; Q9Y694; P11712; P10632; P22309"
"DB01010" "P22303; P06276"
"DB01011" "P00183; P19099; P11509; P08684; O15438; P15538; P05181"
"DB01012" "P41180; P08684; P10635; P05177"
"DB01013" "P04150; P04798; P08684"
"DB01014" "P23219; P35354; P09917; P37231; Q9FAW5"
"DB01015" "P08192; P11712; P02768; P18440; P11245; P23219; O60656; P0AC13; P10632; P08684; P09211; O95342"
"DB01016" "O60706; O95342; O95477; P13569; Q09428; Q14654; P48544; P11712; O15438; P08183; P33527; P46059; P46721; Q16348; Q4U2R8; Q92887; Q9UNQ0; Q9Y694; O94956; P33261; P08684; P02768; Q14654; Q15842; P50416"
"DB01017" "P0A7V8; P0A7X3; ; P01584; P09917; P14780; P15692; P29466; P42574; P99999; Q4U2R8; Q8TCC7; Q9NSA0; Q9Y694"
"DB01018" "P08913; P33261; P08684; P18089"
"DB01019" "P08172; P11229; P20309; P08173"
"DB01020" "P08684; P33402"
"DB01021" "P55017; P05023; P22748; P00918; P00915; P51580"
"DB01022" "P38435; P02818"
"DB01023" "P54289; P0DP23; P08684; Q13936; Q08289; P10632; Q01064; P54750; O95180; Q9NY47; P02585; P63316; P08235; Q01668; Q13698; P20815; P24462; P08183; P11712; P10635; O95342"
"DB01024" "P12268; P20839; P22309; O60656; P16662; Q9HAW7; P19224"
"DB01026" "P08684; P11712; P33261; P20815; P05177; P10632; P04798; P10635; P24462; O95342; P08183; P46721; P05108; P15538; Q16678; O43174; P11509; P20813; Q16850; P10613; P10275; ; P08686; P11511; Q12809; O75469; Q14994; P22309; P16662; Q9Y6L6; Q9HCS2; P78329"
"DB01028" "P98194; P30049; P03886; P14867; Q09470; P42261; P23415; P05181; P05177; P11509; P20813; P11712; P10635; P08684; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB01029" "P30556; P05412; P11712; P10632; P35503; P23219; P08684"
"DB01030" "Q969P6; P11387; Q9UNQ0; P08183; P08684; ; Q96FL8; Q86VL8"
"DB01032" "Q8TCC7; Q9NSA0; P02768; P33261; O15244; O15245; O15438; O15439; O15440; O60669; O76082; O95255; P33527; P46721; P53985; Q14973; Q4U2R8; Q63ZE4; Q92887; Q96J66; Q9NYB5; Q9Y694; Q96RD7; P10632; P08684; Q96S37; Q9NRM0; Q9NYV7; P22309"
"DB01033" "P51580; P47989; P00492; Q8TCC7; O15439; O15440; O43868; Q9HAS3; Q99808; Q14542; Q06278; Q06203; P20839; P12268"
"DB01035" "Q14524; P26358; P10635; P06276; O15244; O15245; O75751; O76082; Q9H015; Q12809; Q96FL8; Q86VL8"
"DB01036" "P11229; P08172; P20309; P10635; P08684; P11712; P33261; P08173; P08912"
"DB01037" "P27338; P20813; P21397; P11509; P08684; P08183; P05177; P33261; P10632; P11712; P10635; P05181"
"DB01039" "Q07869; O43923; P10632; P11712; P08684; P37231; Q03181; O75469; P22309; O95342"
"DB01041" "P01375; P19838; P35354; P33261; P04798; P05181; P11712; P23219; P20815; P21802; ; Q96SW2; P02763; P19652"
"DB01042" "; O75751; Q01650"
"DB01043" "P20813; O15244; P46098; Q693P7; P11509; P33261; P14416; Q05586; P19634; Q9H015; Q96FL8; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88;"
"DB01044" "P02768; P72524; P0A4L9; P72525; Q59961; P05177"
"DB01045" "P0A8V2; O75469; P08684; P05177; P10632; P22309; P11712; P20813; P33261; O15438; O15440; P08183; Q92887; O94956; O95342; P33527; P46721; Q9NPD5; Q9Y694; Q9Y6L6; P0A8T7; P11509; P05181; Q9HB55; P24462; Q02928; Q16850; P02768; P10635; Q4U2R8; Q8TCC7;"
"DB01047" "P08185; P04150; Q99835; P08684"
"DB01048" "P28332; P22309; Q72547; P55263; P18465"
"DB01050" "P23219; P35354; P11712; P02768; O15439; P33527; P46721; Q4U2R8; Q8TCC7; Q9NSA0; O94956; P08183; P35503; O60656; P06133; P16662; P10632; P33261; P10415; P07204; P12104; P37231; P13569; Q07869; P07359; P31151; D6RB81"
"DB01051" "P0A0K8; Q4U2R8; Q8TCC7; Q9NSA0; Q9UNQ0; Q06AK7; Q9Y6L6; Q9NPD5; O94956"
"DB01053" "O76082; P46059; Q16348; Q4U2R8; Q8TCC7; Q9H015; Q9NSA0; O94956; Q96BD0; Q9UIG8; Q9Y6L6; A0A0H2XJ39; P62593"
"DB01054" "Q06432; P08684; O95180; Q9NY47; Q01668; Q13698; Q13936; P54289; Q08289; P20815; P24462; P08183; O95342"
"DB01056" "Q14524; P02768; P05177"
"DB01058" "; P08684; P05177; P33261; Q9HB55; P20815; P24462"
"DB01059" "P43700; P43702; P11388; P05177; P08684; P20815; P24462; O76082; Q4U2R8; P04798"
"DB01060" "Q8XJ01; P33261; P46059; Q16348; Q4U2R8"
"DB01061" "Q8XJ01"
"DB01062" "P11229; P08172; P20309; P08684; P10632; P10635; P20815"
"DB01063" "P14416; P21728; P10275"
"DB01064" "P08588; P07550; P27986; P13945; P28482; O00459; Q92569; P04798; Q4ZHU6; P00441"
"DB01065" "P46597; P48039; P49286; Q92753; P0DP23; P27797; P16083; P05164; P03372; P11678; P04798; P05177; P33261; P11712; P14902; Q16678; Q8TCC7; P11511"
"DB01067" "P11712; P37231; Q09428; P08684; P22309; O95342"
"DB01068" "P30536; P08684; P02768; P05181; P11245; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; O75469"
"DB01069" "P14416; P35367; P08173; P11229; P08912; P35348; P28223; P08172; P20309; P0DP23; P10635; P20813; P08183; P11712; P25021"
"DB01072" "Q72874; P08684; P11712; P08183; P33527; P02768; P22309; Q9Y6L6; Q9NPD5; P10632; O95342"
"DB01073" "P09884; P23921; Q99808; ; P27707; Q9HAS3"
"DB01074" "P50416; P23786; P10635; P20813; P08684; Q12809"
"DB01075" "P35367; P10635; P11712; P33261; P33260; O15244; O76082; P23219; P08172"
"DB01076" "P04035; P08684; P27487; P10635; P11712; P33261; P20815; P24462; P08183; P46721; Q9Y6L6; O15439; O15440; P33527; P20813; P10632; P35869; O94956; Q9NPD5; P22309; P35503; Q92887; O95342; P02768"
"DB01077" "; Q13332; P38606"
"DB01079" "Q13639; P41595; P28335; P28223; P31645; P05177; P10632; P10635; P05181; Q9UNQ0; P08183"
"DB01080" "P80404; Q9UBS5; Q7Z2H8; P11712"
"DB01082" "P0A7S3; ; Q4U2R8; Q9UM07"
"DB01083" "P16233; P49327; P07098; P08684; P47712"
"DB01084" "P35367"
"DB01085" "P11229; P08172; P11509; P20309; P05181; P08684; P08173"
"DB01086" "Q9Y5Y9; P08183; P23141"
"DB01087" "P04798; P05177; P08684; P08729; Q16678; P10635; P16083; ; P08183"
"DB01088" "P43119; P00750; P27815; O94956; Q92959; Q9UIG8; Q07343; Q08493; Q08499; P34995; Q9Y5Y4"
"DB01090" "Q9GZZ6; P32297; P30926"
"DB01092" "P05023; P46721; Q8TCC7; Q6ZQN7; Q9NPD5; Q9NYB5; Q9Y6L6; P04798; P50993; P13637"
"DB01095" "P04035; P11712; P08684; P10632; P10635; P33261; P04798; Q9Y6L6; Q9NPD5; O94956; P46059; P20815; P22309; P35503; P16662; Q92887; P20813"
"DB01096" "; P10635"
"DB01097" "Q02127; P05177; P11712; P35869; Q14289; Q9UNQ0"
"DB01098" "P04035; P11712; O15439; P33527; P33261; P08684; P20815; P46721; Q9NPD5; O94956; Q9UPY5; Q9Y6L6; O95342; Q9UNQ0; P02768; Q92887; Q8TCC7"
"DB01099" "P12461; P26358;"
"DB01100" "P14416; P0DP23; Q12809; P08684; P05177; P20815; P24462; P08183; P35462; P10635; P05181"
"DB01101" "P04818; P19971; P32320; P23141; Q12882; P11712;"
"DB01104" "P31645; P20813; P33261; P11712; P10635; Q01959; Q14097; P08684; P27338; P21397; P08183; P02768; O00264; Q99720"
"DB01105" "P31645; P23975; P08684; Q01959"
"DB01106" "O95665; P35367"
"DB01108" "P14060; P26439; Q92731; P03372; P08684"
"DB01109" "P01008; P00742; P16109; Q9Y251; P22455; P08620; O95750; P11362; P05230; P21802; P09038; P02776; P14210; P05543"
"DB01110" "P11712; P10635; P08684; P08183; P10613; P29474; P35228; Q12791; Q16558; Q9Y691; Q9NPA1; Q86W47; O15554; Q92952; Q9H2S1; Q9UGI6; Q12809; Q9H252; Q9NS40; P15538; P11509; P20813; P33261; P05181; O75469; Q16850; P11511"
"DB01112" "Q8XJ01; P46059; Q16348"
"DB01113" "Q07343; Q9Y233"
