"DrugBankIDs" "Target.uniprot"
"DB00307" "P28702; P08684; P19793; P48443; P11712; P10632"
"DB00308" "Q9H252; Q02641; Q06432; P54289; Q12809; Q13936; O00180; Q9Y257; Q14654; Q9NS40"
"DB00309" "Q9H4B7; P08684"
"DB00310" "Q13621; P02768; P00915"
"DB00312" "P14867; P08684; P48169; Q16445; P47869; P34903; P31644; P43681; P36544; P42262; Q13002; P33261; P11509; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; Q05586; Q12879; Q13224; Q14957; O15399; Q8TCU5; O60391; O75469"
"DB00313" "Q9UKV0; P45954; P11509; P20813; P11712; O76082; Q4U2R8; Q8TCC7; P53985; Q9Y694; P20815; O60656; P23219; P05177; P33260; P33261; P10632; P08684; P22310; Q9HAW9; Q9HAW8; P19224; P35503; P16662; P54855; Q02218; P51649; P35498; Q9Y5Y9; Q9UI33; Q99250; Q9NY46; P35499; Q14524; Q01118; Q9UQD0; Q15858; Q07699; O60939; Q9NY72; Q8IWT1; Q92769; Q07869; Q03181; P37231; P02768; P22309; O94956"
"DB00315" "P28221; P28222; P30939; P05177; P21397; P08908"
"DB00316" "P23219; P35354; P05177; P05181; P08183; P10635; P11509; P08684; P22309; P19224; O60656; P54855; P50225; P0DMM9; P11245; ; O00519; Q8NER1; P09211"
"DB00317" "P00533; P08684; P10635; P08183; Q9UNQ0; P20815; P04798; P11712; P33261; P02768; P02763"
"DB00318" "P35372; P41143; P41145; P10635; P08684; O15245; P16662; P06133;"
"DB00319" "Q4U2R8; Q75Y35; P0A3M6; Q8DNB6; Q7CRA4; Q8TCC7"
"DB00320" "P28221; P28222; P08684; P08913; P41595; P08183"
"DB00321" "P31645; P23975; O43526; P08913; P05177; P33261; P10635; P02768; P02763; P35367; P28223; P08908; P35348; P08684; P20815; Q09470; P25100; P41143; P41145; P04629; Q16620; P11712; P20813; P10632; P25021; Q9H3N8; Q99720; P28335; P35368; P34969; P28221; P35372; P28222; P50406; O43525; P22309; P08909; P11229; P08172; P20309; P08173; P08912; ; P08183"
"DB00322" "P04818; P19971; P11712; P05543"
"DB00323" "P21964; P11712"
"DB00325" "P16066; P04798"
"DB00327" "P35372; P41143; P41145; P08684; P11712; P35503; P16662; P02768"
"DB00328" "P23219; P35354; P33261; O60656; P14555; Q8N8N7; Q04760; Q9Y5Y4; P37231; P02768; O15438; O15439; O95255; P08183; P33527; P46721; Q4U2R8; Q8TCC7; Q92887; Q96J66; Q9NSA0; Q14973; Q9Y694; P11712; P22309; P23141; P16662; Q07869; P42330; Q9Y6L6; O95342"
"DB00330" "P9WNL7; P9WNL9; P9WNL5"
"DB00331" "Q9Y478; O15244; O15245; Q96FL8; Q7RTT9; O75751; Q86VL8; ; P21695"
"DB00332" "P11229; P08172; P20309; O76082; Q9H015; P02768; P02763; P19652"
"DB00333" "Q8TCU5; P35372; Q9GZZ6; P20813; P08684; P33261; P41143; P20815; P24462; P10635; P08183; P10632; P11511; P05177; P33260; P11712; P46098; Q9Y6Y9; P19652; P05543"
"DB00334" "P21728; P11229; P20309; P28223; P21917; P35367; P08173; P08172; P14416; P28335; P35462; P35368; P05177; P46098; P50406; P35348; P21918; P02768; P02763; P31513; P10635; P08183; P33261; P08684; P21728; P21918; P08588; P07550; P13945; P08908; P28222; P28221; P28566; P30939; P14867; P47869; P34903; P48169; P31644; Q16445; Q8N1C3; P18507; Q99928; P11712; P22310"
"DB00335" "P08588; P07550; P10635; O95342; P02768"
"DB00336" "P07003; P06715; P61889; P77390; P47989"
"DB00337" "P62942; P42345; P08684"
"DB00338" "P20648; P33261; P08684; P11712; P05177; O15438; P08183; Q9UNQ0; P04798; Q16678; P33260; P10632; P10635; P35869"
"DB00339" "P47989; ; Q06278; P08684"
"DB00340" "P08172; P11229; P08173; P08912; P20309"
"DB00341" "P35367; P08183"
"DB00342" "P35367; Q12809; P08684; P10635; P20309; P20815; P24462; P08183; P10632; P51589; P11229; P08912; P08173; P08172; O95342"
"DB00343" "Q06432; P08684; P33261; P10635; P20815; P24462; P08183; P10632; P02768; P02763; Q13936"
"DB00344" "P23975; P31645; P10635; P08183"
"DB00346" "P35348; P35368; P25100; P08684; Q12809"
"DB00347" "O43497; P33261; P10632; P11712; P05181; P08684"
"DB00349" "P33261; P08684; P20813; P33260; P30531; P48066; P08183; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P10635"
"DB00350" "P48048; P23219; P00797; P22309"
"DB00351" "P06401; P04150; P08183; P08684"
"DB00352" "; O15439; P00492"
"DB00353" "P21728; P08684; P41595"
"DB00355" "P42971; P05193"
"DB00356" "Q12791; P05181; P05177; P11509; P04798; P10635; P08684"
"DB00357" "P11511; P33261; P08684; P05108"
"DB00358" "P69905; P06276; P08684; P29274; ; P08183; P11511; P10635; P22303"
"DB00359" "P11712; Q27738; P10632; P05181; P08684"
"DB00360" "P00439; P29474; P07101; P17752; P35354"
"DB00361" "P07437; P08684; P08183; P10635"
"DB00362" "A2QLK4"
"DB00363" "P21917; P35367; P14416; Q9NYX4; Q9H3N8; P28223; P08908; P28335; P21728; P05177; P10635; P35462; P11229; P08172; P20309; P08173; P08912; P28222; P28221; P28566; P46098; P50406; P34969; P35348; P35368; P08913; P18089; P18825; P11712; P08183; P08684; P33261; P31513; P22310; P04798; Q16678; P11509; P10632; P05181; P09211"
"DB00364" "P02671; P02675; P02679; ; P01133; P09038"
"DB00367" "P06401; P03372; P18405; P08684; P11511; P10275; P04278"
"DB00368" "P00439; P35348; P35368; P25100; P08913; P18089; P18825; P08588; P07550; P13945; O15244; O75751; O76082; O15245; Q01860; P23975; Q05940; P54219"
"DB00369" "P08546; Q4U2R8; P19971"
"DB00370" "P28223; Q9UE69; P08913; P28335; P41145; P35367; P05177; P08684; P10635; P35348; P35368; P25100; P31645"
"DB00371" "P14867; P47869; P34903; P48169; P31644; Q16445; P33261; P05181; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB00372" "P21728; P21917; P14416"
"DB00373" "P08588; P07550; P10635; P08183; P33261; P00720"
"DB00376" "P11229; P08172; P20309; P08173; P08912"
"DB00377" "P46098; P10635; P08684; P05177"
"DB00378" "P06401; P08684"
"DB00379" "Q14524; P05177; P10635; P20813; P05181; P08684; P35869"
"DB00380" "P11388; Q02880"
"DB00381" "P00915; P08684; Q13936; P04798; P20813; Q00975; Q02641; Q8IZS8; P20815; P08183; P10632; P10635; P17405; ; Q06432; P54289; Q9NY47; Q8IZS8; Q13936; Q01668; O60840; Q13698; Q02641; Q08289; P54284; O00305; Q00975; O00555; O43497; O95180; Q9P0X4; Q9P0X4"
"DB00382" "P22303; P05177; P06276; P08183; P23141"
"DB00384" "P51170; P37088; P51168; P51172; P05177"
"DB00387" "P11229; P08172; P08173; P20309"
"DB00388" "P35348; P35368; P21397; P25100; P05177"
"DB00389" "P07202; P11511"
"DB00390" "P05023; P05108; P08183; Q6ZQN7; O95342; P46721; Q86UW1; Q86UW2; Q9Y6L6"
"DB00391" "P14416; P35462; P06276; P00918; P07451"
"DB00392" "Q8TCU5; P11229; P06276; P08172"
"DB00393" "P08684; P08235; Q01668; Q13698; Q13936; Q08289; O60840; Q02641; P54284; O00305; P20815; P35869"
"DB00394" "P08185; P04150; P20815; P08684"
"DB00395" "P33261; P14867; P47870; P18507; P31644; P34903"
"DB00396" "P06401; P03372; P05093; P33261; P11712; P08684; P20815; P24462; P08183; O15244; O15245; O75751; O95342; P33527; Q14973; P04798; Q16678; P11509; P10635; P08235; P41145; P02763; P04150; P10275; P04278; Q9Y6L6; Q9UNQ0; Q92731; Q9NPD5"
"DB00397" "P21397; P21728; P08588; P07550; P08913; P18089; P18825"
"DB00398" "P15056; P36888; P04049; P35916; P09619; P10721; P35968; P08684; O60656; P20813; P10632; P20815; P24462; P11712; O15439; P08183; Q92887; Q9UNQ0; P05177; P33261; P10635; P22309; Q15311; P11362; P07949; P17948; Q9Y6L6"
"DB00399" "P14324; O95749; ; P33527"
"DB00400" "P10875; P87066; Q99456; P05177; P08684; P10635"
"DB00401" "P08684; Q01668; Q13698; Q13936; P54289; Q08289; P20815; P24462; P08183"
"DB00402" "P30536; P08684; P14867; P47869; P34903; P31644; P11712; P10632; P23219; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88"
"DB00403" "P32238"
"DB00404" "P14867; Q16445; P30536; P34903; P48169; P31644; P47869; P08684; P11712; P20815; P24462; P14867; P47869; P34903; P48169; P31644; Q16445; P18505; P47870; P28472; O14764; P78334; Q8N1C3; P18507; Q99928; O00591; Q9UN88; P02768; P02763; P19652"
